Victor Fleming,2025,The Wizard of Oz at Sphere,US,Special,,
Paul Thomas Anderson,1999,Magnolia,US,Masterpiece,Berlin Goldener Bär,
봉준호,2019,기생충 (Parasite),Korea,Masterpiece,Cannes Palme d'Or,Oscar Best Picture
Terrence Malick,1998,The Thin Red Line,US,Good,Berlin Goldener Bär,
Juan José Campanella,2009,The Secret in Their Eyes (El secreto de sus ojos),Argentina,Special,,Oscar Best International Film
Justine Triet,2023,Anatomy of a Fall,France,Masterpiece,Cannes Palme d'Or,
Elizabeth Meriwether,2022,The Dropout,US,Good,,
Jon M. Chu,2024,Wicked,US,Good,,
Pawel Pawlikowski,2013,Ida,Poland,Masterpiece,,Oscar Best International Film
Imtiaz Ali,2014,Highway,India,Good,,
Ridley Scott,2015,The Martian,US,Good,,
Christopher Nolan,2023,Oppenheimer,US,Good,,Oscar Best Picture
Hirokazu Koreeda,2023,Monster,Japan,Good,,
Quentin Tarantino,1994,Pulp Fiction,US,Good,Cannes Palme d'Or,
Audrey Diwan,2021,L'événement (레벤느망),France,Good,Venice Leone d’oro,
Christopher Nolan,2008,The Dark Knight,US,Masterpiece,,
Tran Anh Hung,2023,The Taste of Things (프렌치 수프),France,Good,,
김성수,2023,서울의 봄 (12.12: The Day),Korea,Good,,
류승완,2023,밀수,Korea,Good,,청룡영화제 최우수 작품상
Hirokazu Koreeda,2018,Shoplifters (어느 가족),Japan,Good,Cannes Palme d'Or,Japan Academy Prize
Yorgos Lanthimos,2023,Poor Things,US,Good,Venice Leone d’oro,
Nobuhiro Doi,2004,"いま、会いにゆきます (지금, 만나러 갑니다)",Japan,Special,,
Alejandro González Iñárritu,2014,Birdman,US,Good,,Oscar Best Picture
David Fincher,1995,Seven,US,Special,,
"Jean-Pierre Dardenne, Luc Dardenne",1999,Rosetta,Belgium,Good,Cannes Palme d'Or,,
"Ben Sharpsteen, Hamilton Luske",1940,Pinocchio,US,Good,,,
