Paul Thomas Anderson,1999,Magnolia,US,Masterpiece,Berlin Goldener Bär,
봉준호,2019,기생충 (Parasite),Korea,Masterpiece,Cannes Palme d'Or,Oscar Best Picture
봉준호,2009,마더 (Mother),Korea,Masterpiece,,청룡영화제 최우수 작품상
Terrence Malick,1998,The Thin Red Line,US,Good,Berlin Goldener Bär,
Juan José Campanella,2009,The Secret in Their Eyes (El secreto de sus ojos),Argentina,Special,,Oscar Best International Film
Justine Triet,2023,Anatomy of a Fall,France,Masterpiece,Cannes Palme d'Or,
George Miller,2024,Furiosa: A Mad Max Saga,Australia,Special,,
Jon M. Chu,2024,Wicked,US,Good,,
Kelsey Mann,2024,Inside Out 2,Pixar,Good,,
Christopher McQuarrie,2023,Mission: Impossible – Dead Reckoning Part I,US,Good,,
Christopher Nolan,2023,Oppenheimer,US,Good,,Oscar Best Picture
Hirokazu Koreeda,2023,Monster,Japan,Good,,
Kim Han-min,2023,노량: 죽음의 바다 ,Korea,Good,,
Quentin Tarantino,1994,Pulp Fiction,US,Good,Cannes Palme d'Or,
Christopher Nolan,2008,The Dark Knight,US,Masterpiece,,
Tran Anh Hung,2023,The Taste of Things (프렌치 수프),France,Good,,
김성수,2023,서울의 봄 (12.12: The Day),Korea,Good,,
류승완,2023,밀수,Korea,Good,,청룡영화제 최우수 작품상
Hirokazu Koreeda,2018,Shoplifters (어느 가족),Japan,Good,Cannes Palme d'Or,Japan Academy Prize
Yorgos Lanthimos,2023,Poor Things,US,Good,Venice Leone d’oro,
