Darren Aronofsky,2008,The Wrestler,US,Good,Venice Leone d’oro,,
전고운,2017,소공녀,Korea,Good,,,
Marc Webb,2025,Snow White,US,Good,,,
Victor Fleming,2025,The Wizard of Oz at Sphere,US,Special,,,
Maggie Kang,2025,K-Pop Demon Hunters,US,Good,,,
Nancy Meyers,2006,The Holiday,US,Good,,,
Ounie Lecomte,2009,여행자 (A Brand New Life),Korea,Special,,,
Michael Mann,2009,Public Enemies,US,Good,,,
임순례,2018,리틀 포레스트,Korea,Good,,,
정지우,1999,해피 엔드,Korea,Good,,,
Lulu Wang,2019,The Farewell,US,Good,,,
홍상수,2002,생활의 발견,Korea,Good,,,
Lukas Dhont,2022,Close,Belgium,Good,,,
김현석,2007,스카우트,Korea,Good,,,
Stanley Kubrick,1999,Eyes Wide Shut,US,Good,,,
George Cukor,1954,A Star Is Born,US,Good,,,
Marc Forster,2013,World War Z,US,Good,,,
Philip Barantini,2025,Adolescence (소년의 시간),UK,Good,,,
Ari Aster,2018,Hereditary,US,Good,,,
David Lynch,1977,Eraserhead,US,,,,
홍상수,2013,누구의 딸도 아닌 해원,Korea,Good,,,
Woody Allen,2019,A Rainy Day in New York,US,Good,,,
홍상수,2017,풀잎들,Korea,Special,,,
Showhei Imamura,1983,楢山節考 (나라야마 부시코),Japan,Special,Cannes Palme d'Or,Japan Academy Prize,
Maren Ade,2016,Toni Erdmann,Germany,Good,,,
Christopher McQuarrie,2025,Mission: Impossible – The Final Reckoning,US,Good,,,
Greg Kohs,2024,The Thinking Game,UK,Special,,,
S.S. Rajamouli,2015,Bãhubali: The Beginning,India,Good,,,
김원석,2025,폭싹 속았수다 (When Life Gives You Tangerines),Korea,Good,,,
김현지,2023,어른 김장하,Korea,Good,,,
Guillermo del Toro,2022,Guillermo Del Toro's Pinocchio,US,Special,,,
Liú Ruòyīng,2018,"Us and Them (后来的我们, 먼 훗날 우리)",China,Good,,,
김형주,2025,승부,Korea,Good,,,
Safdie brothers,2019,Uncut Gems,US,Good,,,
Brady Corbet,2024,The Brutalist,US,Special,,,
Adam McKay,2021,Don’t Look Up,US,Good,,,
봉준호,2025,Mickey 17,US,Good,,,
Edward Berger,2022,All Quiet on the Western Front,Germany,Good,,Oscar Best International Film,
M. Night Shyamalan,1999,The Sixth Sense,US,Good,,,
김희원,2024,조명가게,Korea,Good,,,
Gillo Pontecorvo,1966,The Battle of Algiers (La battaglia di Algeri),Italia,Good,Venice Leone d’oro,,
Rob Marshall,2018,Mary Poppins Returns,US,Good,,,
Woody Allen,1996,Everyone Says I Love You,US,Good,,,
Asghar Farhadi,2018,Todos lo saben (Everybody Knows),Spain,Good,,,
Celine Song,2023,Past Lives,US,Good,,,
Matteo Garrone,2023,Io Capitano,Italia,Good,,,
Christian Petzold,2018,Transit,Germany,Good,,,
우민호,2024,하얼빈,Korea,Good,,,
George Miller,2024,Furiosa: A Mad Max Saga,Australia,Special,,,
Jon M. Chu,2024,Wicked,US,Good,,,
Kelsey Mann,2024,Inside Out 2,Pixar,Good,,,
Sean Baker,2024,Anora,US,Special,Cannes Palme d'Or,Oscar Best Picture,
Todd Phillips,2024,Joker: Folie à Deux,US,Good,,,
홍상수,2024,여행자의 필요 (A Traveler’s Needs),Korea,Good,,,
Aaron Horvath,2023,The Super Mario Bros. Movie,US,Good,,,
Aki Kaurismäki,2023,Fallen Leaves (사랑은 낙엽을 타고),Finland,Good,,,
Alexander Payne,2023,The Holdovers (바튼 아카데미),US,Good,,,
Christian Petzold,2023,Afire,Germany,Good,,,
Christopher McQuarrie,2023,Mission: Impossible – Dead Reckoning Part I,US,Good,,,
Christopher Nolan,2023,Oppenheimer,US,Good,,Oscar Best Picture,
Greta Gerwig,2023,Barbie,US,Good,,,
Hirokazu Koreeda,2023,Monster,Japan,Good,,,
"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",2023,Spider-Man: Across the Spider-Verse,US,Good,,,
Jonathan Glazer,2023,The Zone of Interest,US,Good,,Oscar Best International Film,
Justine Triet,2023,Anatomy of a Fall,France,Masterpiece,Cannes Palme d'Or,,
Ken Loach,2023,The Old Oak,UK,Special,,,Make dishes. Build communities. Pursue arts.
김한민,2023,노량: 죽음의 바다 ,Korea,Good,,,
Peter Sohn,2023,Elemental,Pixar,Good,,,
Ryusuke Hamaguchi,2023,Evil Does Not Exist,Japan,Good,,,
Tran Anh Hung,2023,The Taste of Things (프렌치 수프),France,Good,,,
Wes Anderson,2023,Asteroid City,US,Good,,,
Yorgos Lanthimos,2023,Poor Things,US,Good,Venice Leone d’oro,,
김성수,2023,서울의 봄 (12.12: The Day),Korea,Good,,청룡영화제 최우수 작품상,
김지운,2023,거미집 (Cobweb),Korea,Good,,,
류승완,2023,밀수,Korea,Good,,청룡영화제 최우수 작품상,
엄태화,2023,콘크리트 유토피아 (Concrete Utopia),Korea,Good,,,
Carla Simón,2022,Alcarràs (알카라스의 여름),Spain,Good,Berlin Goldener Bär,,
Charlotte Wells,2022,Aftersun,UK,Good,,,
Christian Petzold,2020,Undine,Germany,Special,,,
Colin Trevorrow,2022,Jurassic World: Dominion,US,Good,,,
Damien Chazelle,2022,Babylon,US,Special,,,
Daniels,2022,Everything Everywhere All at Once,US,Good,,Oscar Best Picture,
Darren Aronofsky,2022,The Whale,US,Good,,,
Elizabeth Meriwether,2022,The Dropout,US,Good,,,
Hirokazu Koreeda,2022,Broker (브로커),Korea,Good,,,
Jafar Panahi,2022,No Bears,Iran,Good,,,
James Cameron,2022,Avatar: The Way of Water,US,Good,,,
Jordan Peele,2022,Nope,US,Good,,,
Joseph Kosinski,2022,Top Gun: Maverick,US,Special,,,
Laura Poitras,2022,All The Beauty And The Bloodshed,US,Special,Venice Leone d’oro,,
Makoto Shinkai,2022,Suzume (스즈메의 문단속),Japan,Good,,,
Mark Mylod,2022,The Menu,US,Good,,,
Martin McDonagh,2022,The Banshees of Inisherin,UK,Good,,,
Ruben Östlund,2022,Triangle of Sadness,Sweden,Good,Cannes Palme d'Or,,
Sho Miyake,2022,"Small, Slow But Steady (너의 눈을 들여다보면)",Japan,Good,,,
Steven Spielberg,2022,The Fabelmans,US,Special,,,
Takehiko Inoue,2022,The First Slam Dunk,Japan,Good,,,
Todd Field,2022,Tár,US,Good,,,
Tom Gormican,2022,The Unbearable Weight of Massive Talent,US,Good,,,
김한민,2022,한산: 용의 출현,Korea,Good,,,
박찬욱,2022,헤어질 결심,Korea,Good,,청룡영화제 최우수 작품상,
이정재,2022,헌트,Korea,Good,,,
Audrey Diwan,2021,L'événement (레벤느망),France,Good,Venice Leone d’oro,,
David Lowery,2021,The Green Knight,US,Good,,,
Denis Villeneuve,2021,Dune,US,Good,,,
Fran Kranz,2021,Mass,US,Good,,,
Guillermo del Toro,2021,Nightmare Alley,US,Good,,,
Jane Campion,2021,The Power of the Dog,US,Good,,,
Joachim Trier,2021,The Worst Person in the World,Norway,Good,,,
Jon Watts,2021,Spider-Man: No Way Home,US,Good,,,
Julia Ducournau,2021,Titane,France,Special,Cannes Palme d'Or,,
Kenneth Branagh,2021,Belfast,UK,Good,,,
Kogonada,2021,After Yang,US,Good,,,
Leos Carax,2021,Annette,US,Good,,,
Matt Reeves,2021,The Batman,US,Good,,,
Pablo Larraín,2021,Spencer,US,Good,,,
Paul Thomas Anderson,2021,Licorice Pizza,US,Good,,,
Peter Jackson,2021,The Beatles: Get Back,US,Good,,,
Radu Jude,2021,Bad Luck Banging or Loony Porn,Romania,Special,Berlin Goldener Bär,,
Robert Zemeckis,2020,The Witches,US,Good,,,
Ryusuke Hamaguchi,2021,Wheel of Fortune and Fantasy (우연과 상상),Japan,Good,,,
Ryusuke Hamaguchi,2021,Drive My Car,Japan,Special,,Oscar Best International Film,
Shaka King,2021,Judas and the Black Messiah,US,Good,,,
Sian Heder,2021,Coda,US,Special,,Oscar Best Picture,
Steven Spielberg,2021,West Side Story,US,Good,,,
Wes Anderson,2021,The French Dispatch,US,Good,,,
류승완,2021,모가디슈,Korea,Good,,청룡영화제 최우수 작품상,
장훈,2011,고지전,Korea,Good,,,
Aaron Sorkin,2020,The Trial of the Chicago 7,US,Good,,,
Caroline Suh,2020,Blackpink: Light Up the Sky,Korea,Good,,,
Charlie Kaufman,2020,I'm Thinking of Ending Things,US,Special,,,
Chloé Zhao,2020,Nomadland,US,Special,Venice Leone d’oro,Oscar Best Picture,
Christopher Nolan,2020,Tenet,US,Good,,,
David Fincher,2020,Mank,US,Good,,,
Emerald Fennell,2020,Promising Young Woman,US,Good,,,
Florian Zeller,2020,The Father,US,Masterpiece,,,
Jasmila Žbanić,2020,"Quo Vadis, Aida?",Bosna,Good,,,
Kelly Reichardt,2020,First Cow,US,Good,,,
